,gis_id,chronology,hierarchy,sb_name,su_name,x,z
277,723,12,3,topo,,9077.2475,113.68390500000001
278,724,12,3,topo,,9082.2353,113.878305
279,725,12,3,topo,,9087.2229,114.00000500000002
280,726,12,3,topo,,9092.2107,114.00000500000002
281,727,12,3,topo,,9097.1983,113.603405
282,728,12,3,topo,,9102.1861,113.00000500000002
283,729,12,3,topo,,9107.1737,112.96420499999999
284,730,12,3,topo,,9112.1615,112.403805
285,731,12,3,topo,,9117.1491,112.00000500000002
286,732,12,3,topo,,9122.1369,112.00000500000002
287,733,12,3,topo,,9127.1245,112.00000500000002
288,734,12,3,topo,,9132.1123,112.00000500000002
289,735,12,3,topo,,9137.0999,112.00000500000002
290,736,12,3,topo,,9142.0877,112.00000500000002
291,737,12,3,topo,,9147.0753,112.00000500000002
292,738,12,3,topo,,9152.0631,112.00000500000002
293,739,12,3,topo,,9157.0507,112.00000500000002
294,770,12,3,topo,,9311.6693,112.00000500000002
295,771,12,3,topo,,9316.6571,112.00000500000002
296,772,12,3,topo,,9321.6447,112.00000500000002
297,773,12,3,topo,,9326.6325,112.00000500000002
298,774,12,3,topo,,9331.6201,112.00000500000002
299,775,12,3,topo,,9336.6079,112.00000500000002
300,776,12,3,topo,,9341.5955,112.00000500000002
301,777,12,3,topo,,9346.5833,112.804605
302,778,12,3,topo,,9351.5709,113.00000500000002
303,779,12,3,topo,,9356.5587,112.72420500000001
304,780,12,3,topo,,9361.5463,112.089305
305,781,12,3,topo,,9366.5341,112.00000500000002
306,782,12,3,topo,,9371.5217,112.00000500000002
307,783,12,3,topo,,9376.5095,111.671505
308,785,12,3,topo,,9386.4849,111.610305
309,786,12,3,topo,,9391.4725,111.97590499999998
310,787,12,3,topo,,9396.4603,111.94320499999999
311,788,12,3,topo,,9401.4479,111.70100500000001
312,793,12,3,topo,,9426.3865,112.189705
313,801,12,3,topo,,9466.2881,112.578305
314,802,12,3,topo,,9471.2757,113.00000500000002
315,803,12,3,topo,,9476.2635,112.822305
316,804,12,3,topo,,9481.2511,112.060105
317,805,12,3,topo,,9486.2389,112.00000500000002
318,806,12,3,topo,,9491.2265,112.00000500000002
319,807,12,3,topo,,9496.2143,112.00000500000002
320,808,12,3,topo,,9501.2019,112.00000500000002
321,809,12,3,topo,,9506.1897,112.00000500000002
322,816,12,3,topo,,9541.1035,111.00000500000002
323,817,12,3,topo,,9546.0913,111.00000500000002
324,818,12,3,topo,,9551.0789,111.00000500000002
325,821,12,3,topo,,9566.0421,111.00000500000002
326,822,12,3,topo,,9571.0297,111.00000500000002
327,823,12,3,topo,,9576.0175,111.00000500000002
328,824,12,3,topo,,9581.0101,111.00000500000002
329,825,12,3,topo,,9586.0027,110.504505
330,1152,12,3,topo,,4542.8697,129.00000500000002
331,1153,12,3,topo,,4547.8519,129.00000500000002
332,1154,12,3,topo,,4552.8443,128.97610500000002
333,1155,12,3,topo,,4557.8367,128.680105
